Team Name,Team City,Competition Level,Gender Division,lat,lon
Thanksgiving,Bozeman,Club,Mixed,45.6794293,-111.044047
Brooklyn Blues Club,Brooklyn,Club,Men,40.6501038,-73.9495823
Brooklyn Book Club,Brooklyn,Club,Women,40.6501038,-73.9495823
Fat and Mediocre,Brooklyn,Club,Men,40.6501038,-73.9495823
Grand Army,Brooklyn,Club,Mixed,40.6501038,-73.9495823
Chaos Theory,Brunswick,Club,Women,43.9145244,-69.9653278
Claos,Brunswick,Club,Women,43.9145244,-69.9653278
Clown,Brunswick,Club,Men,43.9145244,-69.9653278
Old Fat Clown,Brunswick,Club,Mixed,43.9145244,-69.9653278
Buffalo Lake Effect,Buffalo,Club,Mixed,42.8867166,-78.8783922
Buffalo Ultimate,Buffalo,Club,Men,42.8867166,-78.8783922
NEKUD,Burke,Club,Mixed,48.7882181,-102.5295867
Chuck Wagon,Burlington,Club,Men,44.4761601,-73.212906
Heartless,Burlington,Club,Mixed,44.4761601,-73.212906
Mutiny,Burlington,Club,Men,44.4761601,-73.212906
RUT,Burlington,Club,Mixed,44.4761601,-73.212906
SoCal Condors,Calico,Club,Men,35.6327332,-119.2064961
SHRed Line,Cambridge,Club,Men,42.3750997,-71.1056157
AND THE WARHAWKS,Cambridge,Club,Men,42.3750997,-71.1056157
Beach Wrench,Cambridge,Club,Men,42.3750997,-71.1056157
DTH,Cambridge,Club,Mixed,42.3750997,-71.1056157
FENOD & Friends,Cambridge,Club,Mixed,42.3750997,-71.1056157
Vice,Cambridge,Club,Women,42.3750997,-71.1056157
Party Bus,Canton,Club,Men,32.555664,-95.8640507
Nasty Girls,Champaign,Club,Men,40.1164205,-88.2433829
Prion,Champaign,Club,Mixed,40.1164205,-88.2433829
Carolina CottonMouth,Chapel Hill,Club,Mixed,35.9131542,-79.05578
First in Flight,Chapel Hill,Club,Women,35.9131542,-79.05578
Honey Bashfords,Chapel Hill,Club,Men,35.9131542,-79.05578
Rogue,Chapel Hill,Club,Women,35.9131542,-79.05578
Warhawks,Chapel Hill,Club,Women,35.9131542,-79.05578
Hoax,Charleston,Club,Women,32.7876012,-79.9402728
Holy City Heathens,Charleston,Club,Men,32.7876012,-79.9402728
BaNC,Charlotte,Club,Men,35.2272086,-80.8430827
Charlotte Storm,Charlotte,Club,Mixed,35.2272086,-80.8430827
ThunderCats,Charlotte,Club,Mixed,35.2272086,-80.8430827
Tyrannis,Charlottesville,Club,Mixed,38.029306,-78.4766781
Chattanooga Gentlemen's Club ,Chattanooga,Club,Men,35.0457219,-85.3094883
Honey Pot,Chattanooga,Club,Women,35.0457219,-85.3094883
Eastern Washington University ,Cheney,Club,Mixed,47.4873895,-117.5757676
Baemaker,Chicago,Club,Men,41.8755616,-87.6244212
Beachfront Property,Chicago,Club,Men,41.8755616,-87.6244212
Chicago Machine,Chicago,Club,Men,41.8755616,-87.6244212
Dish,Chicago,Club,Mixed,41.8755616,-87.6244212
Dish,Chicago,Club,Women,41.8755616,-87.6244212
ELevate,Chicago,Club,Mixed,41.8755616,-87.6244212
