Team Name,Team City,lat,lon
Black Market,Lombard,41.8864687,-88.0201536
Black Market II,Lombard,41.8864687,-88.0201536
Black Market X,Lombard,41.8864687,-88.0201536
Black Market Y,Lombard,41.8864687,-88.0201536
Clapham Ultimate,London,37.1289771,-84.0832646
Iceni,London,37.1289771,-84.0832646
Long Beach Legacy,Long Beach,33.7690164,-118.191604
Sea Sick,Long Beach Island,39.6357576,-74.1850509
#Beez,Long Island,40.851497,-73.0994258
#Birdz,Long Island,40.851497,-73.0994258
7 Figures,Los Angeles,34.0536909,-118.242766
Family Style,Los Angeles,34.0536909,-118.242766
Gridlock,Los Angeles,34.0536909,-118.242766
Point Break,Los Angeles,34.0536909,-118.242766
Republic,Los Angeles,34.0536909,-118.242766
Tribe,Los Angeles,34.0536909,-118.242766
Viva,Los Angeles,34.0536909,-118.242766
Fifth Element,Louisville,38.2542376,-85.759407
Kentucky Flying Circus,Louisville,38.2542376,-85.759407
Deaf Fruit ,Lubbock,33.5635206,-101.879336
Legion ,Lynchburg ,37.4137536,-79.1422464
H.O.G. Ultimate,Macon,32.8406946,-83.6324022
ALTimate Brews,Madison,43.074761,-89.3837613
Boomtown Pandas,Madison,43.074761,-89.3837613
Heist,Madison,43.074761,-89.3837613
Lockdown,Madison,43.074761,-89.3837613
Mad Men,Madison,43.074761,-89.3837613
Mad Udderburn,Madison,43.074761,-89.3837613
Madison Club,Madison,43.074761,-89.3837613
Mastodon,Madison,43.074761,-89.3837613
Mousetrap,Madison,43.074761,-89.3837613
N.A.B.P.S. (Not Awesome But Pretty Solid),Madison,43.074761,-89.3837613
NOISE,Madison,43.074761,-89.3837613
Rockford Beaches,Madison,43.074761,-89.3837613
Connecticut Connvicts,Manchester,42.9956397,-71.4547891
Scarecrow,Manchester,42.9956397,-71.4547891
Darkwing,Mansfield,40.75839,-82.5154471
Barden Btate Bultimate,Maplewood,44.9533351,-92.9953373
Redhawks,Marshall,41.0324537,-89.2998456
SHINSHU LOOSE,Matsumoto,37.7831752,-79.4441805
Tlacuaches,McAllen,26.2043691,-98.230082
Happy Hour,McMinnville,45.2100367,-123.194463
Club Deportivo Revolution,Medellin,40.7567762,-73.8666603
Space Coast Ultimate,Melbourne,28.11771,-80.6629575
Memphis Belle,Memphis,35.1490215,-90.0516285
Memphis Hustle & Flow,Memphis,35.1490215,-90.0516285
Turmoil,Memphis,35.1490215,-90.0516285
Full Mast,Merritt Island,28.2662775,-80.6636984
Fénix Ultimate,Mexico City,34.1106298,-118.28766
HORUS ULTIMATE TEAM,MEXICO CITY,34.1106298,-118.28766
Fiasco,Miami,25.7741728,-80.19362
Playa Fiasco,Miami,25.7741728,-80.19362
tabasco churrasco,Miami,25.7741728,-80.19362
Witness,Miami,25.7741728,-80.19362
Metro North,Mianus,41.0439859,-73.5912362
Pranksters,Middlebury,44.0072736,-73.1633011
defunct,Middlebury,44.0072736,-73.1633011
defunct,Middlebury,44.0072736,-73.1633011
Cream City Crooks,Milwaukee,43.0349931,-87.922497
Hippie Mafia,Milwaukee,43.0349931,-87.922497
MKE,Milwaukee,43.0349931,-87.922497
MystiKuE,Milwaukee,43.0349931,-87.922497
Northern Comfort,Milwaukee,43.0349931,-87.922497
Bird,Minneapolis,44.9772995,-93.2654692
Climax,Minneapolis,44.9772995,-93.2654692
Coalition Ultimate,Minneapolis,44.9772995,-93.2654692
Drag'n Thrust,Minneapolis,44.9772995,-93.2654692
Minnesota Superior,Minneapolis,44.9772995,-93.2654692
Mojo Jojo,Minneapolis,44.9772995,-93.2654692
Pop,Minneapolis,44.9772995,-93.2654692
Snap,Minneapolis,44.9772995,-93.2654692
Sub Zero,Minneapolis,44.9772995,-93.2654692
THE BODY,Minneapolis,44.9772995,-93.2654692
Crackle ,Minneapolis ,44.9772995,-93.2654692
Minnesota Star Power,Minneapolis ,44.9772995,-93.2654692
$Griz Alum$,Missoula,46.8701049,-113.995267
Dixon Melons,Missoula,46.8701049,-113.995267
Guns for Hire,Missoula,46.8701049,-113.995267
Mental Toss Flycoons,Missoula,46.8701049,-113.995267
Missoula Yoursoula,Missoula,46.8701049,-113.995267
The Bandits,Montclair,40.8164458,-74.2210643
Mockingbird,Montreal,46.4280033,-90.2460097
Mystik,Montreal,46.4280033,-90.2460097
Club M - Inferno,Montreal,46.4280033,-90.2460097
Club M - Magma,Montreal,46.4280033,-90.2460097
Club M - Manic,Montreal,46.4280033,-90.2460097
Club M - Rage,Montreal,46.4280033,-90.2460097
Spring Chickens,Montreal,46.4280033,-90.2460097
Storm,Montreal,46.4280033,-90.2460097
Venus,Montreal,46.4280033,-90.2460097
Beaches & Cream,Nashville,36.1622296,-86.7743531
Blade,Nashville,36.1622296,-86.7743531
Encore,Nashville,36.1622296,-86.7743531
Hairy Otter,Nashville,36.1622296,-86.7743531
Trash Pandas,Nashville,36.1622296,-86.7743531
Deathsquad,Needham,31.9868295,-88.3330882
Homegrown Ultimate,Nelson,47.8852229,-98.1774434
Baywatch,New Britain,41.6796456,-72.7883468
Garden Party,New Brunswick,40.4862174,-74.4518173
Blowing Heat 2.0 ,New Castle ,40.9999202,-80.3471856
East Rock Candy Mountain,New Haven,41.2984343,-72.9310234
Queen Cake,New Orleans,29.9499323,-90.0701156
7 Express,New York City,40.7127281,-74.0060152
BENT,New York City,40.7127281,-74.0060152
DINO,New York City,40.7127281,-74.0060152
Hidden Stache,New York City,40.7127281,-74.0060152
PoNY,New York City,40.7127281,-74.0060152
Powermove,New York City,40.7127281,-74.0060152
Scouts Honor,New York City,40.7127281,-74.0060152
Shade,New York City,40.7127281,-74.0060152
Sleepover at Lenin's,New York City,40.7127281,-74.0060152
The Bends,New York City,40.7127281,-74.0060152
The Feminists,New York City,40.7127281,-74.0060152
The Silent Flatballers,New York City,40.7127281,-74.0060152
Turnstyle,New York City,40.7127281,-74.0060152
Unlimited Swipes,New York City,40.7127281,-74.0060152
Varsity,New York City,40.7127281,-74.0060152
XIST,New York City,40.7127281,-74.0060152
Stuyvesant Sticky Fingers,New York City,40.7127281,-74.0060152
Family Julez,Newark,40.735657,-74.1723667
Locals,Norfolk,36.8462923,-76.2929252
Norfolkin' Around,Norfolk,36.8462923,-76.2929252
Satellite ,Normal,40.5117699,-88.9944815
Dumpster Fire,North Charleston,32.9131295,-80.0629982
Hatgiving 2017,Northampton,42.3178989,-72.6311006
PLOW,Northampton,42.3178989,-72.6311006
Shades,Northampton,42.3178989,-72.6311006
WOLP,Northampton,42.3178989,-72.6311006
Snip Snip,Northfield,44.4582041,-93.161159
Blueprint,New York City,40.7127281,-74.0060152
Pink Pear,New York City,40.7127281,-74.0060152
AC Bandits,Oakland,37.8044557,-122.2713563
Deadly Viper Assassination Squad,Oakland,37.8044557,-122.2713563
Guerrilla,Oakland,37.8044557,-122.2713563
LOL,Oakland,37.8044557,-122.2713563
El Niño,Oakland Park,26.1723065,-80.1319893
HIGH FIVE,Ohio,40.2253569,-82.6881395
Supercell,Oklahoma City,35.4729886,-97.5170536
Scythe,Omaha,41.2587459,-95.9383758
SOFA Spartans,Oneonta,33.9481537,-86.472764
The Killjoys,Orem,40.2971825,-111.694943
GrandMaster Flash,Orlando,28.5421109,-81.3790304
Omen,Orlando,28.5421109,-81.3790304
Sand1,Orlando,28.5421109,-81.3790304
